id,name,source,kind,targets,attackType,rangeMin,rangeMax,attackSpeedSeconds,dpsLevel1,dpsMax,damagePerHitLevel1,damagePerHitMax,hitpointsLevel1,hitpointsMax,maxLevel,unlockLevel,buildCostLevel1,buildCurrency,splashRadius,multiTargetCount,burstCount,special,verified
CoC_Home_Cannon,Cannon,CoC_Home,defense,ground,single,0,9,0.8,7,211,5.6,168.8,420,1900,21,1,250,gold,0,1,1,"basic single-target ground defense, cheapest and earliest defense",False
CoC_Home_ArcherTower,Archer Tower,CoC_Home,defense,both,single,0,10,0.5,9,244,4.5,122,380,2100,21,2,1000,gold,0,1,1,"hits ground and air, longest base range of early defenses",False
CoC_Home_Mortar,Mortar,CoC_Home,defense,ground,splash,4,11,5,4,76,20,380,400,1500,17,3,3500,gold,1.5,1,1,"blind spot within 4 tiles, slow arcing projectile",False
CoC_Home_AirDefense,Air Defense,CoC_Home,defense,air,single,0,10,1,55,360,55,360,450,2200,15,4,15000,gold,0,1,1,highest single-target DPS vs air of the early defenses,False
CoC_Home_WizardTower,Wizard Tower,CoC_Home,defense,both,splash,0,7,1.4,26,230,36,322,620,2450,16,5,30000,gold,1.5,1,1,short range splash hitting ground and air,False
CoC_Home_AirSweeper,Air Sweeper,CoC_Home,defense,air,push,0,12,2,,,0,0,400,800,6,6,60000,gold,0,1,1,"deals no damage, knocks air troops backward along a rotatable cone; can be aimed at ground for a lesser push",False
CoC_Home_HiddenTesla,Hidden Tesla,CoC_Home,defense,both,single,0,7,0.8,68,285,54.4,228,650,2400,14,7,100000,gold,0,1,1,"hidden underground until an enemy enters range, then rises to attack",False
CoC_Home_BombTower,Bomb Tower,CoC_Home,defense,ground,splash,0,9,1.5,22,130,33,195,800,3000,9,7,180000,gold,1.5,1,1,explodes on destruction dealing a large area death-damage burst,False
CoC_Home_XBow,X-Bow,CoC_Home,defense,both,single,0,11,0.4,94,320,37.6,128,1000,3400,11,9,1500000,gold,0,1,1,"can be set to target air, consumes elixir while active, can be buried/hidden",False
CoC_Home_InfernoTower,Inferno Tower,CoC_Home,defense,both,beam,0,7,0.25,100,1666,25,416.5,1600,4200,10,10,2000000,gold,0,5,1,single-target mode ramps damage the longer it locks one target (resets if it switches); multi-target mode hits up to 5 with flat lower damage,False
CoC_Home_EagleArtillery,Eagle Artillery,CoC_Home,defense,both,splash,7,22,11,48,70,135,195,3200,4800,5,11,5000000,gold,4.5,1,4,fires a 4-shell volley at whichever enemy has the highest housing space in range; long blind spot,False
CoC_Home_Scattershot,Scattershot,CoC_Home,defense,air,splash,4,11,3,90,140,270,420,3400,4200,5,13,10000000,gold,3,1,1,"huge splash radius vs air only, rock projectile arcs and can hit multiple clustered air units",False
CoC_Home_BuildersHut,Builder's Hut,CoC_Home,building,,,0,,,,,,,,,,1,,,0,1,1,"non-combat utility building showing an idle/working builder; not a combat defense, included for completeness per request",False
CoC_Home_SpellTower,Spell Tower,CoC_Home,defense,both,support,0,9,,,60,,,,,3,15,14000000,gold,0,1,1,cycles Rage / Poison / Invisibility spell effects over its radius instead of attacking directly; Poison tick ~60 dps at max,True
CoC_Home_Monolith,Monolith,CoC_Home,defense,both,single,0,11,1.5,150,193,225,289.5,,,3,15,255000,dark elixir,0,1,1,"each shot adds bonus damage equal to 11-13% of the target's max HP, so it hits harder vs tankier troops",True
CoC_Home_MultiArcherTower,Multi-Archer Tower,CoC_Home,defense,both,multi,0,10,0.5,120,130,60,65,,,2,16,20000000,gold,0,3,1,"three archers each pick a separate target (up to 3); if fewer targets present, archers concentrate fire on same target",True
CoC_Home_RicochetCannon,Ricochet Cannon,CoC_Home,defense,ground,chain,0,9,0.8,360,390,288,312,,,2,16,20000000,gold,0,2,1,"shot ricochets to a second target within 4 tiles of the first, dealing identical damage to both",True
CoC_Home_MultiGearTower,Multi-Gear Tower,CoC_Home,defense,both,multi,0,12,1,300,320,300,320,,,2,17,22500000,gold,0,1,4,"switchable between Long Range mode (range 12, 1 hit/s, single high-damage shot) and Fast Attack mode (range 8, 4-shot burst, ~607-644 dps, better vs swarms)",True
CoC_Home_Firespitter,Firespitter,CoC_Home,defense,both,burst,0,16,0.0625,399,425,46,49,4500,5000,2,17,17000000,gold,0,2,20,"fires a 20-shot burst per volley in a straight piercing line, hitting up to 2 units per shot; longest range in Home Village but has a blind spot and only rotates in 90-degree steps",True
CoC_Home_GigaTesla,Giga Tesla,CoC_Home,hall_weapon,both,single,0,6,0.5,130,130,65,65,,,1,12,,,0,1,1,Town Hall 12's built-in weapon; activates and attacks the nearest enemy once the Town Hall itself is destroyed,False
CoC_Home_GigaInferno,Giga Inferno,CoC_Home,hall_weapon,both,beam,0,7,0.25,200,650,50,162.5,,,4,13,,,0,1,1,replaces Giga Tesla from TH13-16; ramping-damage beam that activates once the Town Hall is destroyed; exact TH16/17 merge behavior with Inferno Tower unconfirmed,False
CoC_Home_Bomb,Bomb,CoC_Home,trap,ground,trap,0,1.5,,,,60,280,,,11,1,400,gold,1.5,1,1,"one-time hidden explosive, ground troops only",False
CoC_Home_SpringTrap,Spring Trap,CoC_Home,trap,ground,push,0,1.5,,,,0,0,,,6,5,25000,gold,1.5,1,1,"launches ground troops in the blast radius into the air and away, no direct damage",False
CoC_Home_AirBomb,Air Bomb,CoC_Home,trap,air,trap,0,1.5,,,,170,650,,,9,6,60000,gold,1.5,1,1,"one-time hidden explosive, air troops only",False
CoC_Home_GiantBomb,Giant Bomb,CoC_Home,trap,ground,trap,0,2.5,,,,240,760,,,9,8,200000,gold,2.5,1,1,bigger blast radius and damage than the basic Bomb,False
CoC_Home_SeekingAirMine,Seeking Air Mine,CoC_Home,trap,air,trap,0,5,,,,300,1000,,,8,10,750000,gold,0,1,1,homes in and flies toward the nearest air unit before detonating on a single target,False
CoC_Home_SkeletonTrap,Skeleton Trap,CoC_Home,trap,ground,spawner,0,1.5,,,,,,,,4,5,12500,gold,0,1,1,spawns 3-6 Skeletons to fight when triggered instead of dealing direct damage,False
CoC_Home_TornadoTrap,Tornado Trap,CoC_Home,trap,both,pull,0,3,,,,39,55,,,3,11,1800000,gold,3,1,1,pulls nearby troops toward its center over several seconds (small troops pulled harder); excludes Miner-type units,True
CoC_Home_GigaBomb,Giga Bomb,CoC_Home,trap,both,trap,0,3.5,,,,1100,1300,,,3,17,5000000,gold,4.5,1,1,requires 18 total housing space within its 3.5-tile trigger radius to arm; heavy knockback hitting ground and air together,True
CoC_Builder_Cannon,Cannon,CoC_Builder,defense,ground,single,0,8,0.7,10,145,7,101.5,440,1600,13,2,1000,gold,0,1,1,Builder Base starter ground defense,False
CoC_Builder_DoubleCannon,Double Cannon,CoC_Builder,defense,ground,single,0,6,1.3,45,190,58.5,247,700,2000,10,4,100000,gold,0,1,1,"short range, twin-barrel heavy hitter; switches to a faster single barrel once heavily damaged",False
CoC_Builder_ArcherTower,Archer Tower,CoC_Builder,defense,both,single,0,9,0.5,11,160,5.5,80,380,1700,13,3,25000,gold,0,1,1,ground and air single-target tower,False
CoC_Builder_HiddenTesla,Hidden Tesla,CoC_Builder,defense,both,single,0,6,0.8,60,210,48,168,600,1900,10,5,150000,gold,0,1,1,hidden until an enemy is in range,False
CoC_Builder_Firecrackers,Firecrackers,CoC_Builder,defense,air,burst,0,6,1.6,35,140,19,75,300,1200,10,2,40000,gold,0,1,3,fires a 3-shell burst at air troops,False
CoC_Builder_Mortar,Mortar,CoC_Builder,defense,ground,splash,3.5,9,4,9,55,36,220,450,1600,9,3,60000,gold,1.5,1,1,"blind spot, arcing ground splash",False
